B,A,G,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#,F#,B,A,E,F#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,F,D#,D,A,G,E,G,B,A,B,C#,C,F,G#,Bb,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A,Bb,B,C,C,F,D,F#,G,C,F,F,Bb,G,G,C,G,A,A,C,A,D,C#,F#,Bb,Bb,G#,C#,C#,C#,Bb,Eb,C#,,,,,,,,,
Bb,Bb,D,G,C,G,C,D,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bb,A,D,G,G,C,F,Gb,G,A,D,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,G,A,F#,B,A,G,Ab,Eb,C,Bb,Bb,Ab,C,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,A,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,G,F#,E,A,F#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E,F#,G#,C#,D#,D,B,E,C#,G,C,C,A,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,C#,F#,A,B,B,C#,F#,F#,D,E,E,F#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,G,G,F,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,A,D,G,C,B,C#,D,B,E,C,G,F,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,F,E,A,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C,D,G,E,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,A,C,F,D,C#,C,A,A,F,D,E,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,Bb,G,C,C,C,C#,D,A,A,Eb,D,D,D,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,D,E,C#,F#,G,C,F#,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,F#,B,A,F#,B,E,E,D,Ab,E,G,A,D,G,G,B,G,C#,D,C#,,,,,,,,,,,,,,,,,,,,,,
D,G,A,F#,B,E,A,D,D,D#,C,B,F#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,C,B,E,E,A,A,F#,B,G,G#,A,D,F#,E,D,C,F,E,Eb,D,,,,,,,,,,,,,,,,,,,,,,
C,A,D,F,C,G,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A,D,D,B,F#,A,B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G,F,A,A,D,E,F#,C#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B,B,B,B,B,C#,C#,D#,D#,E,E,E,F,F#,F#,F#,F#,G,G,B,D,F#,E,G#,F#,E,B,B,F,E,A,F#,,,,,,,,,,,
